SEASON_ID,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,MATCHUP,WL,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FT_PCT,FG3_PCT,PLUS_MINUS,IS_HOME,LAST5_PTS,LAST5_REB,LAST5_AST,LAST5_STL,LAST5_BLK,LAST5_TOV,LAST5_FG_PCT,LAST5_FT_PCT,LAST5_FG3_PCT,LAST5_PLUS_MINUS
22017,0021700039,2017-10-22 00:00:00,1610612760,20,1206,0,113,36,26,9,6,11,0.479,0.625,0.355,-2,1,96.0,39.5,20.5,14.0,5.5,18.5,0.4215,0.6795,0.311,6.0
22017,0021700039,2017-10-22 00:00:00,1610612750,17,1005,1,115,45,25,5,1,18,0.5,0.826,0.4,2,0,99.5,43.0,20.0,9.0,3.0,14.5,0.4395,0.7735000000000001,0.3695,-2.5
22017,0021700038,2017-10-22 00:00:00,1610612751,1,87,1,116,51,27,12,8,18,0.471,0.676,0.407,12,1,128.5,45.5,22.0,10.0,4.0,19.0,0.4895,0.81,0.36650000000000005,-2.0
22017,0021700040,2017-10-22 00:00:00,1610612747,13,800,0,112,38,27,7,6,17,0.489,0.75,0.333,-7,1,112.0,47.0,21.5,8.0,5.0,19.0,0.4615,0.6679999999999999,0.356,-7.0
22017,0021700040,2017-10-22 00:00:00,1610612740,18,1057,1,119,42,26,14,5,18,0.566,0.714,0.313,7,0,105.5,50.5,20.5,6.0,8.0,18.5,0.4195,0.732,0.362,-10.0
22017,0021700045,2017-10-23 00:00:00,1610612744,9,528,1,133,50,33,6,8,16,0.558,0.846,0.385,30,0,116.66666666666667,45.333333333333336,27.666666666666668,7.0,8.0,17.333333333333332,0.48233333333333334,0.8523333333333333,0.433,-1.0
22017,0021700043,2017-10-23 00:00:00,1610612745,10,622,0,90,39,25,5,2,17,0.416,0.739,0.237,-8,1,111.33333333333333,47.0,21.333333333333332,9.333333333333334,4.0,14.666666666666666,0.453,0.8109999999999999,0.289,7.333333333333333
22017,0021700047,2017-10-23 00:00:00,1610612764,29,1689,1,109,38,24,13,3,15,0.44,0.929,0.3,5,0,117.5,44.5,23.0,10.0,8.5,13.5,0.483,0.8089999999999999,0.313,4.5
22017,0021700044,2017-10-23 00:00:00,1610612766,3,189,0,94,48,17,3,5,14,0.423,0.583,0.269,-9,0,99.5,52.0,16.5,4.5,3.5,19.0,0.4135,0.7965,0.303,3.0
22017,0021700046,2017-10-23 00:00:00,1610612761,27,1592,0,97,34,17,11,4,15,0.425,0.792,0.27,-4,0,122.5,50.0,24.5,7.5,7.0,15.0,0.471,0.8835,0.3715,25.5
